key,nodes,strategy,geo,round,seconds,coverage
50-no-coop-geo,50,no-coop,1,10,300,0.3018
50-no-coop-geo,50,no-coop,1,11,330,0.3257
50-no-coop-geo,50,no-coop,1,12,360,0.3485
50-no-coop-geo,50,no-coop,1,13,390,0.3692
50-no-coop-geo,50,no-coop,1,14,420,0.3894
50-no-coop-geo,50,no-coop,1,15,450,0.4069
50-no-coop-geo,50,no-coop,1,16,480,0.4247
50-no-coop-geo,50,no-coop,1,17,510,0.4426
50-no-coop-geo,50,no-coop,1,18,540,0.4604
50-no-coop-geo,50,no-coop,1,19,570,0.4755
50-no-coop-geo,50,no-coop,1,20,600,0.4894
50-no-coop-geo,50,no-coop,1,21,630,0.5034
50-no-coop-geo,50,no-coop,1,22,660,0.518
50-no-coop-geo,50,no-coop,1,23,690,0.5311
50-no-coop,50,no-coop,0,0,0,0.0276
50-no-coop,50,no-coop,0,1,30,0.0547
50-no-coop,50,no-coop,0,2,60,0.0816
50-no-coop,50,no-coop,0,3,90,0.1085
50-no-coop,50,no-coop,0,4,120,0.1353
50-no-coop,50,no-coop,0,5,150,0.1618
50-no-coop,50,no-coop,0,6,180,0.1886
50-no-coop,50,no-coop,0,7,210,0.2167
50-no-coop,50,no-coop,0,8,240,0.2426
50-no-coop,50,no-coop,0,9,270,0.2685
50-no-coop,50,no-coop,0,10,300,0.2957
50-no-coop,50,no-coop,0,11,330,0.3232
50-no-coop,50,no-coop,0,12,360,0.3502
50-no-coop,50,no-coop,0,13,390,0.3776
50-no-coop,50,no-coop,0,14,420,0.4052
50-no-coop,50,no-coop,0,15,450,0.4313
50-no-coop,50,no-coop,0,16,480,0.4586
50-no-coop,50,no-coop,0,17,510,0.486
50-no-coop,50,no-coop,0,18,540,0.5129
50-no-coop,50,no-coop,0,19,570,0.5403
50-no-coop,50,no-coop,0,20,600,0.5682
50-no-coop,50,no-coop,0,21,630,0.5958
50-no-coop,50,no-coop,0,22,660,0.6228
50-no-coop,50,no-coop,0,23,690,0.6508
50-rarest-first-geo,50,rarest-first,1,0,0,0.0178
50-rarest-first-geo,50,rarest-first,1,1,30,0.0612
50-rarest-first-geo,50,rarest-first,1,2,60,0.1299
50-rarest-first-geo,50,rarest-first,1,3,90,0.2013
50-rarest-first-geo,50,rarest-first,1,4,120,0.284
50-rarest-first-geo,50,rarest-first,1,5,150,0.347
50-rarest-first-geo,50,rarest-first,1,6,180,0.422
50-rarest-first-geo,50,rarest-first,1,7,210,0.4648
50-rarest-first-geo,50,rarest-first,1,8,240,0.5039
50-rarest-first-geo,50,rarest-first,1,9,270,0.5345
50-rarest-first-geo,50,rarest-first,1,10,300,0.5521
50-rarest-first-geo,50,rarest-first,1,11,330,0.5709
50-rarest-first-geo,50,rarest-first,1,12,360,0.5905
50-rarest-first-geo,50,rarest-first,1,13,390,0.6043
50-rarest-first-geo,50,rarest-first,1,14,420,0.6121
50-rarest-first-geo,50,rarest-first,1,15,450,0.6133
50-rarest-first-geo,50,rarest-first,1,16,480,0.6134
50-rarest-first-geo,50,rarest-first,1,17,510,0.6134
50-rarest-first-geo,50,rarest-first,1,18,540,0.6134
50-rarest-first-geo,50,rarest-first,1,19,570,0.6134
50-rarest-first-geo,50,rarest-first,1,20,600,0.6134
50-rarest-first-geo,50,rarest-first,1,21,630,0.6134
50-rarest-first-geo,50,rarest-first,1,22,660,0.6134
50-rarest-first-geo,50,rarest-first,1,23,690,0.6134
50-rarest-first,50,rarest-first,0,0,0,0.0195
50-rarest-first,50,rarest-first,0,1,30,0.0696
50-rarest-first,50,rarest-first,0,2,60,0.1588
50-rarest-first,50,rarest-first,0,3,90,0.2485
50-rarest-first,50,rarest-first,0,4,120,0.3397
50-rarest-first,50,rarest-first,0,5,150,0.4249
50-rarest-first,50,rarest-first,0,6,180,0.541
50-rarest-first,50,rarest-first,0,7,210,0.6184
50-rarest-first,50,rarest-first,0,8,240,0.676
50-rarest-first,50,rarest-first,0,9,270,0.7538
50-rarest-first,50,rarest-first,0,10,300,0.8132
50-rarest-first,50,rarest-first,0,11,330,0.8535
50-rarest-first,50,rarest-first,0,12,360,0.8846
50-rarest-first,50,rarest-first,0,13,390,0.9235
50-rarest-first,50,rarest-first,0,14,420,0.9645
50-rarest-first,50,rarest-first,0,15,450,0.9876
50-rarest-first,50,rarest-first,0,16,480,0.9956
50-rarest-first,50,rarest-first,0,17,510,0.9976
50-rarest-first,50,rarest-first,0,18,540,0.9995
50-rarest-first,50,rarest-first,0,19,570,1
50-rarest-first,50,rarest-first,0,20,600,1
50-rarest-first,50,rarest-first,0,21,630,1
50-rarest-first,50,rarest-first,0,22,660,1
50-rarest-first,50,rarest-first,0,23,690,1
50-replication-geo,50,replication,1,0,0,0.0178
50-replication-geo,50,replication,1,1,30,0.0596
50-replication-geo,50,replication,1,2,60,0.1222
50-replication-geo,50,replication,1,3,90,0.1822
50-replication-geo,50,replication,1,4,120,0.2392
50-replication-geo,50,replication,1,5,150,0.2922
50-replication-geo,50,replication,1,6,180,0.3759
50-replication-geo,50,replication,1,7,210,0.4329
